 INFO  Accepting connections at http://localhost:3000
 HTTP  3/1/2026 3:53:41 PM ::1 GET /
 HTTP  3/1/2026 3:53:41 PM ::1 Returned 200 in 167 ms
 HTTP  3/1/2026 3:55:55 PM ::1 GET /
 HTTP  3/1/2026 3:55:55 PM ::1 Returned 200 in 7 ms
 HTTP  3/1/2026 10:25:32 PM ::1 GET /
 HTTP  3/1/2026 10:25:32 PM ::1 Returned 200 in 106 ms
 HTTP  3/1/2026 10:26:02 PM ::1 GET /
 HTTP  3/1/2026 10:26:02 PM ::1 Returned 200 in 6 ms
 HTTP  3/1/2026 10:26:09 PM ::1 GET /
 HTTP  3/1/2026 10:26:09 PM ::1 Returned 206 in 6 ms
 HTTP  3/1/2026 10:26:09 PM ::1 GET /favicon.ico
 HTTP  3/1/2026 10:26:09 PM ::1 Returned 404 in 44 ms
